selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
200,3.26,0.64,Women s Black Quick Dry Water Shoes  Beach Shoes  Aqua Shoes  Swim Shoes  Non Slip Water Socks  Breathable Running Shoes  Yoga Shoes  Indoor Barefoot Shoes,,,7
300,3.81,0.65,SHEIN LUNE Slogan Graphic Drop Shoulder Sweatshirt,,,
,10.94,0.25,Men s Solid Color Half Zipper Sports Hoodie Gym Clothes Men,2,in Men Sports Sweatshirts,
,22.6,0.25,New Men s Shoes  Fashionable All Match Casual Sports Shoes In Microfiber Leather  Low Cut Slip Resistant Sole  Suitable For All Seasons,9,In Beige Men Sneakers,8
30,6.11,0.14,pc Black Lightweight Portable Nylon Adjustable Golf Bag,,,
200,10,0,GLOWMODE Tiny Titan Water Resistant Belt Bag,,,9
,0.56,0.67,novel homework dice game   couple creative gift,2,in Dice Games,
,2.05,0.18,pcs Waterproof Phone Case  Casual Waterproof Phone Pouch Cellphone PVC Bag For Vacation Beach Sports Bag School Supplies School Stuff For School For Studen,4,in Functional Bags,
2300,13.89,0.14,SHEIN EZwear Women s Vintage Printed Hoodie,,,7
,5.45,0.49,SHEIN Street Sport Drop Shoulder Drawstring Hollow Out Super Crop Sports Hoodie Without Cami Top,6,in Plain Women Sports Sweatshirts,
1400,11.09,0.13,SHEIN EZwear Slogan Print Kangaroo Pocket Fleece Lined Hoodie,,,
,9.86,0.31,Daily Casual Plus Size Letter Printed Drawstring Hooded Sleeveless Sports Hoodie,4,in Regular Fit Plus Size Sports Tops,
3400,14.59,0.13,SHEIN EZwear Women s Hooded Star And Letter Print Fleece Sweatshirt,,,6
1700,8.89,0.13,SHEIN EZwear Women S Cartoon Duck Printed Crew Neck Sweatshirt,,,6
,29.36,0.05,YAKEDA Ventilated Mesh Training Vest,,,
,1.35,0.1,pc Cute Mini Heart Utility Knife Paper Cutter Art Knife Box Cutter School Office Supply Cutting Tool Student Stationery Gift,8,in Knives,
1300,7.48,0.42,Manfinity Sport Corelite Men s Sports Shorts Gym Shorts,,,
,4.15,0.2,pc Coffee Machine Diatom Mud Drainage Pad  Soft Rubber Drain Pad  Non Slip Super Absorbent And Wear Resistant Dish Washing Dry Pad  Placemat For Countertop Dining Kitchen Table Mat  Courtyard Table Decoration  Household Kitchen Supplies,6,in Place Mats,
,5.99,0,SHEIN Running   In   Casual Sportswear Tank Top Gym Top,4,in Slogan Women Activewear,
,15.14,0.25,Yoga Trendy  Pcs Letter Print Tank Top   Sports Bra   Graphic Leggings Workout Clothes,3,in 4-Way Stretch Women Sports Sets,
